1.793840902180771912e-01 9.223225883377778045e-01 1.464501900000000087e-03
2.367252594476897953e-01 8.818461597391207274e-01 1.168045500000000105e-03
2.921458168522443888e-01 8.028426516307998195e-01 1.039491499999999980e-03
3.482805432301176451e-01 1.318463585606144961e-01 9.462958899999999595e-05
4.052126320531627690e-01 3.607104221087183149e-02 5.176677299999999992e-05
4.603905074540116105e-01 1.890125181273407881e-02 3.514664299999999749e-05
6.626585434687698450e-01 3.053434289348383630e-03 3.717028600000000142e-06
8.625483462674990998e-01 1.233396941416462248e-03 2.135476500000000018e-06
1.062167735905238386e+00 4.347055593542751032e-04 1.395959399999999955e-06
1.261509825429290022e+00 3.019040013891578604e-04 2.586363799999999894e-07
1.461898834895760668e+00 1.302308190514183815e-04 1.948551199999999921e-07
1.661955070474819607e+00 8.775642622335128203e-05 1.524298899999999938e-07
1.861934988075566899e+00 5.008721032782196875e-05 6.472545600000000529e-08
2.090918258448954514e+00 3.500024321140524943e-05 5.719621699999999781e-08
2.318313862772034550e+00 1.416367310912500871e-05 4.300950300000000303e-08
2.547068408393605932e+00 1.378681818169006891e-05 4.891063499999999981e-08
2.775774367194150383e+00 1.320353087206086022e-05 6.519897200000000467e-08
3.004265466821520292e+00 7.668018576192791203e-06 7.865036100000000540e-08
3.233110081408486547e+00 4.593153625877316214e-06 9.924000600000000249e-08
3.461386207271123894e+00 3.372777675968512441e-06 1.085296899999999936e-07
3.863835200317784935e+00 2.804048026351535725e-06 1.683737900000000020e-07
4.263989268211829220e+00 2.311475353124972168e-06 2.259545000000000001e-07
4.662354447277915703e+00 1.668874410505344459e-06 1.942013500000000054e-07
5.060962216674460556e+00 1.341252022096695586e-06 1.920885899999999888e-07
5.464312701515980919e+00 1.238966221695893562e-06 1.988862200000000023e-07
